review_title,review_date,reviewer_country,room_type,party_size,nr_nights,date_stay,review_score,review_great,review_poor,hotel_response_bool
Very good,07-2023,Lithuania,Deluxe Studio,Family,2,07-2023,8.0,N/A,"It is a little strange that the windows in the room cannot be opened. In this case, we were forced to use the air conditioner, which hums quite loudly at night.
When taking a shower, the water runs hard and reaches the door, all the towels get wet.",True
Very good,07-2023,Netherlands,Standard Queen Room,Couple,3,07-2023,8.0,N/A,Food prices too high,False
we had a nice stay,07-2023,Ukraine,Deluxe Studio,Couple,2,07-2023,9.0,"very helpful and nice staff, good location",there is definitely space for improvement in terms of cleaning,True
"good option, close to the university",07-2023,Slovenia,Standard Queen Room,Solo traveller,5,07-2023,9.0,"good breakfast and comfy bed, close to the university","if you need a hairdryer you apparently need to ask a day in advance, strange and unexpected in a hotel",True
"Great for citytrip, awesome staff and would go there again next time!",07-2023,Netherlands,Deluxe King Room,Couple,1,07-2023,9.0,Location + nice staff.,The pillows were not very good.,True
Great vibe and friendly staff!,05-2023,Netherlands,Deluxe King Room,Couple,1,05-2023,8.0,The vibe and style,Bit expensive,True
"Nice stay, however it was somewhat overpriced.",06-2023,Netherlands,Deluxe King Room,Solo traveller,2,06-2023,7.0,"location, bike hire, staff is very friendly","airconditioninh did not work, quality breakfast poor for the price. Amenities in the room were not well taken care off, showergel was empty e.g.",True
overpriced & unclean,06-2023,Netherlands,Standard Queen Room,Group,1,06-2023,7.0,nice beds and friendly staff,"orher peoples hairs in the bed, unclean shower and dirty towel on the floor upon arrival, not compensated therefore overpriced",True
"Nice place, very central but too pricy!",06-2023,Germany,Deluxe King Room,Couple,2,06-2023,8.0,"Good location of the hotel. Nice staff and a creat atmosphere due to all the students.
The breakfast was ok. There might be many better place around but it was convenient. The corner room was great seeing the sunset over Groningen.",Water from the shower ran into the bathroom. The bed had only one sheet. The room was basic. Nothing missing but not much more. A different price around 100€ would have been much reasonable!,True
Nice and vibrant place to stay in Groningen!,05-2023,Netherlands,Standard Queen Room,Solo traveller,2,05-2023,8.0,"I really liked the layout of the room, there was enough space and the bed was big and comfortable. Downstairs were social spaces with a lot of students and business people doing work, but also people socializing. The Hub also organizes activities to mingle during the month (you can find the program in the elevator).",Breakfast was too expensive compared to the offer.,True
really enjoyed staying at the hotel,05-2023,United Kingdom,Deluxe King Room,Family,2,05-2023,8.0,"great vibes, modern and clean",dark corridors upstairs,True
Great place but pretty expensive for hostels,05-2023,United States,Deluxe Studio,Family,1,05-2023,9.0,"Staff.  Demnis was awesome!  Breakfast
Was excellent",Price was really higj,True
Good place.,04-2023,Canada,Deluxe King Room,Couple,3,04-2023,7.0,Location - close to the center. Great breakfast. Very quite.,"Long wait for check-in, only one person at reception. Walk in shower is not deep enough, water splashes all over bathroom.",True
can recommend.,04-2023,Netherlands,Deluxe King Room,Solo traveller,1,04-2023,8.0,"Room was spacious, quiet and well equipped.","The switch for the night lamp is very difficult to reach,  when lying in bed.",True
Great place to stay while discovering Groningen.,04-2023,Cyprus,Standard Queen Room,Family,3,04-2023,8.0,"Exellent location, park house next door, fancy design, great atmosphere created by lots of young people. Decent restaurant and friendly staff.",Over the weekend it's a little noisy at night but it's to expect in the centre of a student city. Small details in the room require attention but this didn't influence our rather pleasant stay.,True
Good,04-2023,United Kingdom,Standard Queen Room,Solo traveller,1,04-2023,7.0,"The Social Hub was easy to find and was in a perfect location for what I needed. The room was suitable, with a comfortable bed, nice shower and strong WiFi. The breakfast options were varied and easy to find. I also appreciated the bag of Haribo in my room when I arrived :)","During my stay, the lift was broken. While not the end of the world, it did mean that reaching my room on the fourth floor was more arduous than you would want.",True
Very good,04-2023,Netherlands,Deluxe King Room,Couple,1,04-2023,8.0,"Great vibe, common area is fantastic with co-working spaces , a book collection etc , large room with a nice view",Very thin walls - leading to disturbed sleep,True
I always enjoy going ther but I’m bias as my daughter lives in the student wing although she is now moving out I’ll stil,04-2023,Ireland,Deluxe King Room,Solo traveller,2,04-2023,9.0,there’s lots going on and you can hire a bick,The downside toilet one of the toilets was out of service and the other one had no toilet paper,True
"student hotel, always full of young people working with their laptops in the open areas and playing",03-2023,Spain,Deluxe King Room,Couple,3,03-2023,8.0,N/A,"room cleaning each other day, not daily",True
Very good,03-2023,United Kingdom,Standard Queen Room,Solo traveller,5,03-2023,8.0,N/A,The food in the restaurant was not great,True
Overall positive experience,03-2023,Netherlands,Standard Queen Room,Couple,2,03-2023,7.0,Comfortable and spacious rooms. Breakfast was also very nice.,"It was very dusty in the room. Also, our room was situated above the restaurant/kitchen, and around dinner time we could smell food in the bathroom. Finally, the temperature of the shower fluctuated a lot! From very hot to very cold. 
Otherwise, very nice stay.",True
Good,03-2023,Germany,Deluxe King Room,Group,1,03-2023,7.0,N/A,toilet was dirty! the toilet was not rinsed off (urine etc) or wiped off upon arrival…,True
Decent location and price for a short city trip,03-2023,Malaysia,Deluxe King Room,Couple,1,03-2023,8.0,"Convenient location with underground carpark next door, restaurant with reasonably priced food at the ground floor and staff gave us more bottled water when we checked out.",N/A,False
short but good.,02-2023,Netherlands,Deluxe King Room,Couple,1,02-2023,9.0,"The breakfast was good. Large room which was nice. location was amazing, also a parking garage next to it!",nothing,True
Superb,03-2023,Greece,Standard Queen Room,Couple,1,03-2023,9.0,"- excellent breakfast with quality products and variety
- friendly staff
- great location
- clean",The lightning in the room and the bathroom was not enough-very dark,True
loved it and i will come again!!!!,03-2023,Cyprus,Standard Queen Room,Family,2,03-2023,8.0,"people, food, clean, nice area",nothing,True
Very good,04-2023,Netherlands,Deluxe King Room,Couple,1,04-2023,8.0,"Great vibe, common area is fantastic with co-working spaces , a book collection etc , large room with a nice view",Very thin walls - leading to disturbed sleep,True
I always enjoy going ther but I’m bias as my daughter lives in the student wing although she is now moving out I’ll stil,04-2023,Ireland,Deluxe King Room,Solo traveller,2,04-2023,9.0,there’s lots going on and you can hire a bick,The downside toilet one of the toilets was out of service and the other one had no toilet paper,True
"student hotel, always full of young people working with their laptops in the open areas and playing",03-2023,Spain,Deluxe King Room,Couple,3,03-2023,8.0,N/A,"room cleaning each other day, not daily",True
Very good,03-2023,United Kingdom,Standard Queen Room,Solo traveller,5,03-2023,8.0,N/A,The food in the restaurant was not great,True
Overall positive experience,03-2023,Netherlands,Standard Queen Room,Couple,2,03-2023,7.0,Comfortable and spacious rooms. Breakfast was also very nice.,"It was very dusty in the room. Also, our room was situated above the restaurant/kitchen, and around dinner time we could smell food in the bathroom. Finally, the temperature of the shower fluctuated a lot! From very hot to very cold. 
Otherwise, very nice stay.",True
Good,03-2023,Germany,Deluxe King Room,Group,1,03-2023,7.0,N/A,toilet was dirty! the toilet was not rinsed off (urine etc) or wiped off upon arrival…,True
Decent location and price for a short city trip,03-2023,Malaysia,Deluxe King Room,Couple,1,03-2023,8.0,"Convenient location with underground carpark next door, restaurant with reasonably priced food at the ground floor and staff gave us more bottled water when we checked out.",N/A,False
short but good.,02-2023,Netherlands,Deluxe King Room,Couple,1,02-2023,9.0,"The breakfast was good. Large room which was nice. location was amazing, also a parking garage next to it!",nothing,True
Superb,03-2023,Greece,Standard Queen Room,Couple,1,03-2023,9.0,"- excellent breakfast with quality products and variety
- friendly staff
- great location
- clean",The lightning in the room and the bathroom was not enough-very dark,True
loved it and i will come again!!!!,03-2023,Cyprus,Standard Queen Room,Family,2,03-2023,8.0,"people, food, clean, nice area",nothing,True
Superb,12-2022,Netherlands,Standard Queen Room,Solo traveller,1,12-2022,9.0,perfect combination between casual vibe and good quality of service and content.,N/A,True
Superb,12-2022,Netherlands,Deluxe King Room,Solo traveller,1,12-2022,9.0,"I got two craft beers after checking in, I liked that a lot. Staff is very friendly and I liked the interior design of the rooms. Rooms are quite and clean.",Can't think of anything.,True
Best choice in Groningen,12-2022,Poland,Standard Queen Room,Group,1,12-2022,9.0,It's my 5th time here. I'm always happy to come back.,N/A,True
Very good,11-2022,Netherlands,Deluxe King Room,Solo traveller,2,11-2022,8.0,"Location, staff and all the facilities. There was an amazing breakfast everyday.",There was nothing to dislike,True
Good location to access and explore Groningen,10-2022,France,Deluxe King Room,Family,3,10-2022,8.0,The staff and facilities are excellent,Bike hire is quite expensive,True
Recommended stay,09-2022,Netherlands,Deluxe King Room,Solo traveller,1,09-2022,9.0,"Nice atmosphere, pleasant room (perfect shower!), good breakfast, well equiped business centre",N/A,True
Good hotel next to the city center,08-2022,Netherlands,Standard Queen Room,Solo traveller,1,08-2022,8.0,"The staff is nice, the hotel is very clean, the room is comfortable and clean. The hotel is in a very good location, close to the city center. There is a good restaurant inside the hotel.",Nothing bad to say.,True
Very good,07-2022,Germany,Standard Queen Room,Couple,2,07-2022,8.0,"location, friendly staff, cool design, cleanliness, good restaurant",The shower wasn't draining well,True
Very good,09-2022,Brazil,Deluxe King Room,Solo traveller,3,09-2022,8.0,The best thing is that the room was quiet.,The pillows could be better.,True
Good option for your stay,09-2022,Canada,Standard Queen Room,Solo traveller,1,09-2022,7.0,Central location.  Good value.,"As a student residence, I expected some USB chargers in the room.",True
Great for parents of students who stay in the Student Hotel,08-2022,United States,Deluxe King Room,Family,3,08-2022,8.0,convenient location,N/A,True
Very enjoyable,08-2022,France,Standard Queen Room,Family,3,08-2022,8.0,"Location, facilities and friendly staff",Cleanliness of the kitchen,True
Superb,06-2022,South Africa,Standard Queen Room,Solo traveller,3,06-2022,9.0,Was what I expected,Nothing really,False
Good for budget stays up to one week,08-2022,Netherlands,Deluxe Studio,Solo traveller,4,08-2022,8.0,Location and design was the best attribute of this hotel. My room was in a quiet part of the hotel which I appreciated as I travelled for work.,There were items missing from my studio that were in the description of the room. I had to go to reception multiple times to get the missing items and some were simply unavailable despite what was advertised.,False
v good,08-2022,Cyprus,Standard Queen Room,Family,1,08-2022,8.0,location,wanted the room to be painted,True
a good stay,07-2022,United Arab Emirates,Deluxe King Room,Family,4,07-2022,8.0,the location and the room was comfortable. However the cleaning services were very adhoc,The cleaning services were very adhoc. The laundry was good but was in the lobby which made it hard to even iron a shirt as they would not provide it,True
Very good,08-2022,Cyprus,Deluxe King Room,Couple,6,08-2022,8.0,"friendly and very helpful staff
decent breakfast
excellent location!",N/A,True
"Excellent hotel, great vibe.",08-2022,Netherlands,Standard Queen Room,Solo traveller,1,08-2022,8.0,"Great vibe, modern design. Good facilities with games, comfort areas, gym etc. Staff are very helpful and friendly.",Bed mattresses could be more comfortable (although they aren't terrible). Shower room design meant that the small shower room floor became wet (not a big deal but uses a lot of towels).,False
Good,08-2022,Iran,Standard Queen Room,Couple,1,08-2022,7.0,"Location is perfect
Staff was helpful",Room has no shampoo we order it,True
Superb,08-2022,Iran,Standard Queen Room,Family,4,08-2022,9.0,"It was my second stay in this hotel. Everything was great. Great location and facilities near city center,university ,…As well as very polite and friendly staff in all sections. I appreciate all of them.","In my opinion,being a minibar at the rooms complete the facilities and needs.",True
It was great,08-2022,Netherlands,Standard Queen Room,Family,2,08-2022,7.0,Breakfast was good,N/A,False
Great place to stay if you need to come over for work,07-2022,Netherlands,Deluxe King Room,Couple,1,07-2022,9.0,"The room was spacious and comfortable. The bed was comfortable, and so was the room temperature. There were plenty of power sockets available. The location is very convenient, close to the city centre and hospital (UMCG) and has a direct bus connection to Zernike campus.","If I had stayed alone, I would be perfectly happy, but since I was there with my partner, we noticed that the toilet (and bathroom in general) was very noisy (especially noticeable at night).",False
Good,08-2022,Germany,Standard Queen Room,Family,2,08-2022,7.0,"The staff are very friendly, helpful and the service attitude is very good!","The mattress in our room was one high and one low, and it was really uncomfortable to sleep for two nights. There is no compartment door in the shower in the bathroom, so even the countertop and the whole floor are very wet after taking a shower.",False
IT is a highly recommended place to stay with convenience of seeing Groningen.,07-2022,United Arab Emirates,Standard Queen Room,Family,4,07-2022,9.0,"The room was excellent and the staff was very helpful. From the the time we entered till we left the staff was always helpful and was ready to take an extra step to guide and support our needs.
The room was spacious and the bed very comfortable. The showers always had hot water which was very comforting in the cold weather.
The hotel has a lovely gym and laundry room for your requirements with other children games to provide entertainment with Students monthly specials","The hotel did not provide any in room facilities. If you had to iron your clothes you would have to go to the laundry room next to the reception. The iron was leaking water , but did work.",False
Great value and very pleasantly surprised!,07-2022,Germany,Standard Queen Room,Family,1,07-2022,8.0,"Lovely atmosphere, great breakfast and super gym for my teen! The fact it is open 24 hours suits a young night owl very much. He loved it.  Staff so friendly. Did have a problem with my saddle on my bike which was a little annoying but added to our Groningen adventure.  Wish we could have stayed for 2 nights.  Will definitely be back! The personal postcard and gummibears in the room were a welcome touch.",Nothing really - it suited our trip perfectly.,False
very good,07-2022,Israel,Standard Queen Room,Family,1,07-2022,8.0,all,"no minibar
poor coffee set
Beds too hard",False
Comfortable room and practical workplace facilities,06-2022,Romania,Deluxe King Room,Solo traveller,1,06-2022,9.0,"Clean and spacious room, having all the needed amenities. Handy open workplace facilities that you can use, even when you're not a guest anymore. Nice little gestures with the handwritten welcome card and the bag of Haribo's.","I've asked for a late check-out as I had to attend some meetings and wrap up some work items. In the end I could only extend the stay with just 1 hour, and had to pay extra 20 euros for it. Also, even if they were aware of the late check-out request, I still got called in the room before the noon to be asked why I haven't checked out yet. 
As nitpicking, the open workplace can get quite noisy if there are lot of students around, but not much you can do since in the end the facilities are for free. Can't complain much here.",False
good value,07-2022,Belgium,Standard Queen Room,Couple,2,07-2022,9.0,great all the way,N/A,False
Very good,07-2022,Denmark,Deluxe King Room,Group,4,07-2022,8.0,"The room was spacious and clean, and the hotel is within walking distance from the university. I also liked the facilities, particularly the free laundry.","That there was no fridge in the room, in the summer I prefer to keep my drinks cold.",False
Feel like students,07-2022,Sweden,Standard Queen Room,Couple,1,07-2022,7.0,"Cozy hotel, walkable distance to museums and city center.","The breakfast was a minus. The food was nearly empty when we went down at 9.15. There was only one chef in the kitchen. He was cooking slowly. The bathroom had no shower curtain, the water leaked out to the area that was supposed to be dry.",False
Excellent value for money,07-2022,United Kingdom,Standard Queen Room,Solo traveller,1,07-2022,8.0,"Close to town, cheap fare, great room and shower, quiet.",I couldn't switch off all the led lights at night.,False
Superb,07-2022,Netherlands,Deluxe King Room,Group,1,07-2022,9.0,Room,N/A,False
Superb,07-2022,Croatia,Standard Queen Room,Solo traveller,7,07-2022,9.0,"Amazing staff, very comfortable bed, great design. Very good coffee.",N/A,False
Everything was great !,07-2022,France,Standard Queen Room,Solo traveller,6,07-2022,9.0,"The staff was very friendly, and it is all about the little touches: the posters on the wall, the postcards, the heart shaped cadies when i left... Also, i discovered a great secret bar thanks to the hotel's suggestions.","i am very difficult when it comes to pillows... they need to be pretty flat. Unfortunately they were too big and hard for my liking, and i was too shy to bother the reception with that. Not really the hotel's fault for that.",False
great location that made everything easy,07-2022,Jordan,Standard Queen Room,Family,3,07-2022,9.0,location and staff,nothing in there particular,False
Good,07-2022,Netherlands,Deluxe King Room,Solo traveller,1,07-2022,7.0,"Location, personnel and cleanliness","I had the invalid room which had a horrible bathroom. That was the only negative on my stay, location, cleanliness and personnel are great.",False
Perfect stay in Groningen,06-2022,Germany,Standard Queen Room,Family,1,06-2022,9.0,Everything,Nothing,True
Good,06-2022,Germany,Standard Queen Room,Group,4,06-2022,7.0,"Staff is super nice, kind and friendly, all of them. Great!
I even had a personalized message waiting for me in the room. 
The room was big enough and clean. It had a lot of cute accessories. 
Restaurant was great too.","The bed and pillows are very hard, made to last long probably, but for me very uncomfortable. The new mattresses are similar. Pitty.
And would be great if one could sort out the garbage.",True
"A very good choice, not only for students",05-2022,Greece,Standard Queen Room,Solo traveller,4,05-2022,9.0,"The room was quite comfortable, the breakfast was fair and plenty, the staff very welcoming and helpful. The bathroom was very good. Although it is a quite lively place (as a student hotel), the room was extremely quiet, which I appreciated a lot, since I was there for work. The room had all amenities & provisions, such as a working space and an espresso maker. The price was quite good compared to other places in Groningen. There is a bus stop nearby which goes straight to the campus on the outskirts of the city, while the city centre is close on foot, so renting a bike is not really necessary, unless you prefer it, of course.","The room could have been a little cleaner. Also, the aisles are poorly lighted and have a kind of heavy smell.",True
"it was great,I suggest that for all particularly young students.",06-2022,Iran,Deluxe King Room,Solo traveller,3,06-2022,9.0,"very clean and comfortable hotel.staff were very polite and helpful.From location standpoint ,was excellent near university and city center also with suitable gym.",Due to student environment may be it would be boring for middle aged people.,True
Very good,05-2022,Netherlands,Deluxe King Room,Solo traveller,2,05-2022,8.0,"Clean, spacious room; nice decoration, and very nice staff. It was great to get a drink when arriving and when leaving, and also a snack upon arrival.",N/A,True
Made my time more memorable.,05-2022,Germany,Deluxe King Room,Solo traveller,2,05-2022,8.0,I really liked the overall atmosphere and I really appreciated all the amenities which were made available to us. The staff were extremely friendly and the location was top !,"I have house dust allergies and on the first night they were triggered, resulting in me having pretty bad allergies. Totally clogged sinuses and all and I figured that it was due to the lack of circulation and the colourful bed cover which accumulated dust. That is the only thing I would mind.",True
Awesome,05-2022,United Kingdom,Deluxe King Room,Solo traveller,2,05-2022,8.0,The staff were incredibly  very relatable and helpful.,N/A,True
Good,04-2022,Netherlands,Standard Queen Room,Solo traveller,2,04-2022,7.0,The location,"It used to be way better. I specifically booked this hotel cause I've been there many times before, and I'm always comfortable. 
I arrived and my room wasn't ready yet, but it was well worth the wait, this was the best room of the hotel! Top floor with an amazing view! They said. So I got a coffee and waited. 
I ended up with a room on the 4th floor without view, cause something bad happened to my original room.. first bummer. Second bummer; The mattress of the bed was horrible. I turned it around, cause I don't know how people can sleep on that. And I didn't have toilet paper. Or Netflix. I could've asked for that, but to be honest, I just wanted to leave and not speak to anyone there 🥲",True
Superb,04-2022,Netherlands,Deluxe King Room,Couple,1,04-2022,9.0,"Nicely designed rooms, did not feel cramped at all.  Some wine and crisps as a welcome gift and also at reception a welcoming 'stroopwafel'. Staff informal, but very pleasant and kind.  Hotel very lively (because of the students who stay there for a longer time), but inside your own room it is the regular hotel experience and not collegiate at all. Coffee and tea making facilities present in the room.",Nothing really,True
Superb,04-2022,Germany,Deluxe King Room,Group,1,04-2022,9.0,"Friendly staff, very welcoming 
location was good, not far from everything",N/A,True
Superb,03-2022,Germany,Deluxe King Room,Couple,2,03-2022,9.0,"Position is great, personal is great, dynamic. We liked the possibility to buy food from the vending machine and the small ""gift"" we received (glass of Prosecco, candies, water)","Breakfast time on monday was not communicated. We arrived at 10 and we have been told we only had 15 minutes to eat, while we were told breakfast was open until 11.",True
Very good,03-2022,Italy,Deluxe King Room,Solo traveller,4,03-2022,8.0,"Friendly personnel, possibility to rent a bike, nice location (not in the centre but close)",wifi did not work for many days,True
Superb,03-2022,Finland,Deluxe King Room,Couple,3,03-2022,9.0,N/A,"We rented bicycles. The staff could have adjusted the hight of the seat for the bikes, because it was quite uncomfortable to ride a bike way too low! But on the other hand: being able to ride the bike to different places made our stay much nicer.",True
Nice and stress-free stay,02-2022,Denmark,Deluxe King Room,Couple,2,02-2022,8.0,"Good location, nice staff. We got a few extra minutes to check out as my partner had a business call to finish up, which was very gracious. We could get food delivered to the hotel, which was perfect for us during Covid times. The staff at the cafe was super service-minded and the coffee was great. All in all, great stay.",N/A,True
"Comfortable rooms, good location, friendly staff.",02-2022,Netherlands,Standard Queen Room,Solo traveller,3,02-2022,9.0,"Room, comfortable bed, coffee machine and kettle in the room.",N/A,True
Modern space in the heart of the city,02-2022,Netherlands,Deluxe King Room,Couple,1,02-2022,9.0,"friendly stuff, spacious room, nicely decorated",N/A,True
Very good,02-2022,Belgium,Deluxe King Room,Group,2,02-2022,8.0,"Everything was fine, except for the long wait for the lift.",N/A,True
"Very good hotel, friendly staff, would choose again",02-2022,Denmark,Deluxe King Room,Couple,3,02-2022,8.0,N/A,Uncomfortable beds and paper cups,True
