review_title,date_stay,review_text,true_label,predicted_label,predicted_category,predicted_keywords
Good,04-2022,"It used to be way better. I specifically booked this hotel cause I've been there many times before, and I'm always comfortable. 
I arrived and my room wasn't ready yet, but it was well worth the wait, this was the best room of the hotel! Top floor with an amazing view! They said. So I got a coffee and waited. 
I ended up with a room on the 4th floor without view, cause something bad happened to my original room.. first bummer. Second bummer; The mattress of the bed was horrible. I turned it around, cause I don't know how people can sleep on that. And I didn't have toilet paper. Or Netflix. I could've asked for that, but to be honest, I just wanted to leave and not speak to anyone there 🥲",negative,negative,complaint,"[('hotel', 0.6058), ('bed', 0.4814), ('mattress', 0.4688), ('comfortable', 0.3617), ('room', 0.3475)]"
IT is a highly recommended place to stay with convenience of seeing Groningen.,07-2022,"The hotel did not provide any in room facilities. If you had to iron your clothes you would have to go to the laundry room next to the reception. The iron was leaking water , but did work.",negative,negative,complaint,"[('laundry', 0.4028), ('hotel', 0.3994), ('iron', 0.3119), ('room', 0.2895), ('clothes', 0.2162)]"
"Poor value for money, beautiful design but lacking essential comfort.",05-2022,"The beds (mattresses) are horrible. I could not sleep at all, I kept on rolling from one side to the other the whole nights. Afterwards, I found other complaints about the beds in Google reviews, but the hotel has done nothing to improve the situation.",negative,negative,complaint,"[('beds', 0.6873), ('mattresses', 0.6116), ('hotel', 0.5144), ('sleep', 0.4448), ('nights', 0.3687)]"
Great place but pretty expensive for hostels,05-2023,Price was really higj,negative,negative,complaint,"[('price', 0.681), ('higj', 0.3263), ('really', 0.2842)]"
Poor,07-2022,"If you order the delivery food, then your food could be stollen from reception (there is a drop off point) and the personal don't care about it. They will say that isn't their responsibility. At same time, the hotel positions their selves as safe hotel, but anybody can enter to the room's space using stairs. So, keep in mind that you need to be careful about safety of your goods.",negative,negative,complaint,"[('hotel', 0.4388), ('reception', 0.3892), ('delivery', 0.3534), ('stollen', 0.2691), ('responsibility', 0.2676)]"
overpriced & unclean,06-2023,"orher peoples hairs in the bed, unclean shower and dirty towel on the floor upon arrival, not compensated therefore overpriced",negative,negative,complaint,"[('dirty', 0.4959), ('towel', 0.4934), ('shower', 0.4581), ('bed', 0.4519), ('hairs', 0.4254)]"
Good if you can live with loud parties.,07-2022,"Stay away if you want quiet nights. We traveled for work but took our toddler. One night, there was an extremely loud party in the restaurant of the hotel, making it difficult to sleep. Staff said they could do nothing about the noise. We had important meetings the next day and our toddler of course was crying a lot. I thought I was paying for a quiet room without any hassle, but at The Student Hotel they think differently.",negative,negative,complaint,"[('quiet', 0.4549), ('noise', 0.4299), ('loud', 0.4073), ('sleep', 0.3979), ('nights', 0.3848)]"
Exceptional,06-2022,Very laid back,negative,neutral,suggestion,"[('laid', 0.7067)]"
Excellent central city stay for work or play.,06-2023,Big room - I could do my morning exercises. Simple sensible furnishing- no frills.,negative,neutral,suggestion,"[('furnishing', 0.5813), ('room', 0.5593), ('exercises', 0.4512), ('morning', 0.3304), ('sensible', 0.3281)]"
Exceptional,03-2023,Better  to setup small  refrigerator in each room,negative,neutral,suggestion,"[('refrigerator', 0.725), ('room', 0.4033), ('small', 0.3207), ('setup', 0.3046), ('better', 0.1841)]"
Exceptional,05-2021,Nothing - it was just perfect,negative,neutral,compliment,"[('perfect', 0.616), ('just', 0.3507)]"
Very enjoyable,08-2022,Cleanliness of the kitchen,negative,neutral,question,"[('kitchen', 0.7875), ('cleanliness', 0.7736)]"
Good place.,04-2023,"Long wait for check-in, only one person at reception. Walk in shower is not deep enough, water splashes all over bathroom.",negative,negative,complaint,"[('shower', 0.6071), ('bathroom', 0.5292), ('reception', 0.3891), ('splashes', 0.3489), ('water', 0.3304)]"
we had a nice stay,07-2023,there is definitely space for improvement in terms of cleaning,negative,neutral,complaint,"[('cleaning', 0.5279), ('improvement', 0.4196), ('space', 0.3002), ('definitely', 0.2122), ('terms', 0.0464)]"
"Overall a very pleasant stay, central location, nice vibe and friendly staff, cool interior and great breakfast buffet:)",08-2023,Rooms could be a bit cleaner (dust) and the hallways to the rooms are a bit dark.,negative,neutral,complaint,"[('rooms', 0.6096), ('hallways', 0.5239), ('dark', 0.3865), ('cleaner', 0.3769), ('dust', 0.3391)]"
Good,06-2022,"The bed and pillows are very hard, made to last long probably, but for me very uncomfortable. The new mattresses are similar. Pitty.
And would be great if one could sort out the garbage.",negative,negative,complaint,"[('mattresses', 0.7237), ('bed', 0.6119), ('pillows', 0.6009), ('uncomfortable', 0.2989), ('garbage', 0.2623)]"
"Overall Its a nice hotel, I enjoyed my stay there with my son for 5 nights this summer. I would reccomend it.",08-2023,"The rooms are very basic, bed headboard and under the bed are very dusty. The AC isnt great, not cooling much. Breakfast has limited options and disorganised.",negative,negative,complaint,"[('rooms', 0.5651), ('bed', 0.5152), ('breakfast', 0.3922), ('dusty', 0.3744), ('basic', 0.2842)]"
Very good,07-2022,The shower wasn't draining well,negative,negative,complaint,"[('shower', 0.7556), ('draining', 0.5019), ('wasn', 0.1373)]"
Perfect short stay and super friendly staff,06-2022,It was overpriced for single occupancy and the name makes it a bit off-putting if you’re not a student.,negative,negative,complaint,"[('overpriced', 0.4224), ('student', 0.3272), ('single', 0.2499), ('occupancy', 0.2245), ('putting', 0.0503)]"
Good,08-2022,Room has no shampoo we order it,negative,negative,complaint,"[('shampoo', 0.5014), ('room', 0.4255), ('order', 0.143)]"
"Nice place, very central but too pricy!",06-2023,Water from the shower ran into the bathroom. The bed had only one sheet. The room was basic. Nothing missing but not much more. A different price around 100€ would have been much reasonable!,negative,negative,complaint,"[('shower', 0.4651), ('bathroom', 0.3946), ('price', 0.3591), ('bed', 0.3221), ('water', 0.2954)]"
Good,09-2023,"Food, lift, TV",negative,neutral,observation,"[('tv', 0.6498), ('food', 0.5465), ('lift', 0.4069)]"
Great place to stay while discovering Groningen.,04-2023,Over the weekend it's a little noisy at night but it's to expect in the centre of a student city. Small details in the room require attention but this didn't influence our rather pleasant stay.,negative,neutral,suggestion,"[('night', 0.4691), ('noisy', 0.4322), ('room', 0.3659), ('weekend', 0.3621), ('student', 0.3539)]"
So nice!,07-2021,I really couldn't say. Restaurant could be better and breakfast was not the best either.,negative,negative,complaint,"[('breakfast', 0.5151), ('restaurant', 0.475), ('better', 0.2668), ('couldn', 0.2663), ('say', 0.1753)]"
Very good,08-2021,"I did not like the bed, the soft pillow and the shower.",negative,negative,complaint,"[('pillow', 0.4905), ('bed', 0.4733), ('shower', 0.3809), ('soft', 0.2363), ('like', 0.0044)]"
"Weve had a good stay, good breakfast,at a vey good location. Communication upfront was good. We will",08-2021,"Personal was working in the middle yard at 7 in the morning. Perseption, construction workers are bussy. No, own personel, or hored personel where making noice at the yard.",negative,negative,complaint,"[('workers', 0.5992), ('construction', 0.4559), ('personel', 0.4284), ('working', 0.3955), ('morning', 0.3921)]"
Good value for money and suitable for youth travelers.,08-2023,Cleaning can be better (there was dust in the shelves) and carpet not cleaned properly.,negative,negative,complaint,"[('cleaning', 0.6325), ('cleaned', 0.5831), ('carpet', 0.4912), ('dust', 0.4319), ('shelves', 0.4203)]"
Very good,07-2023,"Overall atmosphere is a bit down.
View is sometimes ok. Can be noisy.price is to high for what you get but rates are different every day. 
100 euro max. .",negative,negative,complaint,"[('atmosphere', 0.4983), ('rates', 0.3794), ('price', 0.3705), ('high', 0.3039), ('euro', 0.3024)]"
Good location,08-2021,The mattress was really dirty when we arrived. It had a big stain right on it. It was not possible to open the room window fully so it stayed really warm in there.,negative,negative,complaint,"[('mattress', 0.5339), ('dirty', 0.4211), ('room', 0.3201), ('warm', 0.2068), ('window', 0.2057)]"
Excellent hotel with great staff!,01-2022,There was no fridge in our room.,negative,negative,complaint,"[('fridge', 0.4943), ('room', 0.3187)]"
Exceptional,08-2021,The slope in the bathroom is not well done and the water from the shower does not drain into the siphon. But it's not a big problem. I noticed it just because everything else was perfect.,negative,neutral,complaint,"[('bathroom', 0.5422), ('shower', 0.5397), ('drain', 0.3932), ('water', 0.3402), ('perfect', 0.3185)]"
Very good,09-2021,"Nothing, Everything was perfect",negative,neutral,observation,"[('perfect', 0.6638)]"
Pleasant,10-2022,Not really clean,negative,negative,complaint,"[('clean', 0.7301), ('really', 0.3263)]"
we enjoyed our visit to the Student Hotel and Groningen the city,10-2021,atmosphere and location,positive,neutral,observation,"[('atmosphere', 0.8454), ('location', 0.5513)]"
"The concept and the location are amazing, but for the price I expected a clean room and a comfortable bed.",08-2023,"Location, concept, food, staff",positive,neutral,observation,"[('location', 0.538), ('staff', 0.5316), ('food', 0.468), ('concept', 0.3718)]"
Pleasant,08-2022,"The lobby of the hotel is really awesome with a bar, a little shop and even a table tennis tabel and a soccer table. 
Staff was really nice and accomodating. The rooms are clean. It's nicely situated near the city center.",positive,positive,compliment,"[('hotel', 0.6876), ('lobby', 0.5679), ('rooms', 0.499), ('bar', 0.3012), ('city', 0.2551)]"
Good choice in Groningen,08-2021,"Very good location, very clean and comfortable rooms",positive,positive,compliment,"[('rooms', 0.7273), ('comfortable', 0.4495), ('location', 0.4323), ('clean', 0.3556), ('good', 0.2974)]"
Excellent,08-2021,Good quality,positive,neutral,compliment,"[('quality', 0.9023), ('good', 0.8199)]"
can recommend.,04-2023,"Room was spacious, quiet and well equipped.",positive,positive,compliment,"[('room', 0.5491), ('spacious', 0.4014), ('quiet', 0.3819), ('equipped', 0.1594)]"
Perfect stay in Groningen,06-2022,Everything,positive,neutral,observation,[]
Very good,08-2021,A beautiful hotel with full services.the room was comfortable and clean . The staff was very kind and the hotel Is in the centre,positive,positive,compliment,"[('hotel', 0.7394), ('room', 0.4229), ('centre', 0.3666), ('comfortable', 0.2874), ('beautiful', 0.2707)]"
Made my time more memorable.,05-2022,I really liked the overall atmosphere and I really appreciated all the amenities which were made available to us. The staff were extremely friendly and the location was top !,positive,positive,compliment,"[('friendly', 0.3065), ('staff', 0.3037), ('atmosphere', 0.2902), ('location', 0.2805), ('liked', 0.2582)]"
Superb,08-2021,"Nice clean rooms, Good restaurant on site. in the middle of the city. Huge window is a plus.",positive,positive,compliment,"[('restaurant', 0.5268), ('city', 0.4663), ('rooms', 0.4321), ('window', 0.4127), ('nice', 0.2542)]"
"Clean and cozy, fun atmosphere, all around good vibes",12-2022,"very comfortable. the bed was firm but soft, fluffy pillows and cozy duvet. When I travel in winter I usually find hotels extremely hot without a way to adjust the temperature. I prefer a cooler room temperature to sleep and this room was perfect.",positive,positive,compliment,"[('hotels', 0.5014), ('cozy', 0.5005), ('bed', 0.4819), ('comfortable', 0.4703), ('pillows', 0.4269)]"
Nice modern hotel,07-2023,The vibe,positive,neutral,question,"[('vibe', 0.8426)]"
Overall positive experience,03-2023,Comfortable and spacious rooms. Breakfast was also very nice.,positive,positive,compliment,"[('breakfast', 0.6204), ('rooms', 0.5317), ('spacious', 0.4104), ('comfortable', 0.3586), ('nice', 0.2947)]"
More of a student accommodation with great breakfast.,08-2023,"The Hotel has great lounging and co-working spaces as well as ping-pong tables. And the breakfast was awesome, especially for vegans & vegetarians!",positive,positive,compliment,"[('hotel', 0.5189), ('breakfast', 0.4494), ('vegans', 0.3894), ('vegetarians', 0.3764), ('tables', 0.3661)]"
It’s raining man,07-2023,"The facilities (laundry, bar) and the room",positive,neutral,observation,"[('room', 0.6692), ('facilities', 0.6121), ('laundry', 0.53), ('bar', 0.5057)]"
Great value and very pleasantly surprised!,07-2022,"Lovely atmosphere, great breakfast and super gym for my teen! The fact it is open 24 hours suits a young night owl very much. He loved it.  Staff so friendly. Did have a problem with my saddle on my bike which was a little annoying but added to our Groningen adventure.  Wish we could have stayed for 2 nights.  Will definitely be back! The personal postcard and gummibears in the room were a welcome touch.",positive,positive,compliment,"[('nights', 0.39), ('bike', 0.374), ('night', 0.3732), ('owl', 0.3702), ('welcome', 0.3469)]"
Nice place nice staff all fun,07-2023,"Super nice and dedicated staff. Beautiful and shinny place with students all around. Excelent breakfast.  Comfortable room with however tiny bathroom. Good localization,  town center in 10 min walking.",positive,positive,compliment,"[('staff', 0.4925), ('town', 0.4036), ('place', 0.3734), ('room', 0.369), ('bathroom', 0.3589)]"
Good,04-2022,The location,positive,neutral,question,"[('location', 0.9413)]"
IT is a highly recommended place to stay with convenience of seeing Groningen.,07-2022,"The room was excellent and the staff was very helpful. From the the time we entered till we left the staff was always helpful and was ready to take an extra step to guide and support our needs.
The room was spacious and the bed very comfortable. The showers always had hot water which was very comforting in the cold weather.
The hotel has a lovely gym and laundry room for your requirements with other children games to provide entertainment with Students monthly specials",positive,positive,compliment,"[('hotel', 0.49), ('room', 0.4614), ('bed', 0.3447), ('spacious', 0.3313), ('staff', 0.3203)]"
"Poor value for money, beautiful design but lacking essential comfort.",05-2022,The shared spaces.The staff is friendly.,positive,neutral,compliment,"[('staff', 0.6302), ('friendly', 0.4463), ('shared', 0.4132), ('spaces', 0.3976)]"
Great place but pretty expensive for hostels,05-2023,"Staff.  Demnis was awesome!  Breakfast
Was excellent",positive,positive,compliment,"[('breakfast', 0.5058), ('excellent', 0.497), ('staff', 0.4298), ('awesome', 0.4289), ('demnis', 0.3164)]"
Poor,07-2022,The room was clean.,positive,neutral,compliment,"[('room', 0.6229), ('clean', 0.4952)]"
overpriced & unclean,06-2023,nice beds and friendly staff,positive,positive,compliment,"[('beds', 0.7949), ('staff', 0.4717), ('nice', 0.4059), ('friendly', 0.3956)]"
Good if you can live with loud parties.,07-2022,Close to the city center with clean rooms. Restaurants and shops nearby. Friendly staff. Breakfast was nothing special but OK.,positive,neutral,compliment,"[('breakfast', 0.5327), ('restaurants', 0.526), ('city', 0.42), ('nearby', 0.3371), ('shops', 0.3083)]"
Exceptional,06-2022,Amazing atmosphere,positive,positive,compliment,"[('atmosphere', 0.8728), ('amazing', 0.6117)]"
Excellent central city stay for work or play.,06-2023,Close to centre. Free and easy approach. Friendly and helpful staff.,positive,positive,compliment,"[('staff', 0.6136), ('centre', 0.4523), ('friendly', 0.449), ('helpful', 0.4289), ('approach', 0.3913)]"
Exceptional,03-2023,"Very friendly staff, clean and comfortable room and good location",positive,positive,compliment,"[('staff', 0.5964), ('room', 0.5231), ('friendly', 0.415), ('comfortable', 0.3217), ('clean', 0.2962)]"
Exceptional,05-2021,Great space - inside and outside the room. Everything you could think about or need is available - just perfect,positive,positive,compliment,"[('room', 0.6309), ('space', 0.5323), ('perfect', 0.4548), ('inside', 0.4489), ('great', 0.3912)]"
Very enjoyable,08-2022,"Location, facilities and friendly staff",positive,positive,compliment,"[('staff', 0.6913), ('facilities', 0.654), ('location', 0.5479), ('friendly', 0.4728)]"
Good place.,04-2023,Location - close to the center. Great breakfast. Very quite.,positive,neutral,compliment,"[('breakfast', 0.7584), ('location', 0.3627), ('center', 0.3268), ('great', 0.2878), ('quite', 0.2428)]"
we had a nice stay,07-2023,"very helpful and nice staff, good location",positive,positive,compliment,"[('staff', 0.6463), ('location', 0.4399), ('helpful', 0.4257), ('nice', 0.4203), ('good', 0.3264)]"
"Overall a very pleasant stay, central location, nice vibe and friendly staff, cool interior and great breakfast buffet:)",08-2023,"Overall a very pleasant stay, central location, nice vibe and friendly staff, cool interior and great breakfast buffet:)",positive,positive,compliment,"[('pleasant', 0.5251), ('breakfast', 0.5194), ('buffet', 0.4619), ('nice', 0.4365), ('friendly', 0.4067)]"
Good,06-2022,"Staff is super nice, kind and friendly, all of them. Great!
I even had a personalized message waiting for me in the room. 
The room was big enough and clean. It had a lot of cute accessories. 
Restaurant was great too.",positive,positive,compliment,"[('staff', 0.5619), ('friendly', 0.361), ('restaurant', 0.3481), ('room', 0.3272), ('nice', 0.3204)]"
"Overall Its a nice hotel, I enjoyed my stay there with my son for 5 nights this summer. I would reccomend it.",08-2023,"The location is very close to the town square where all the Shops, bata and restaurants. Its 10 mins by car to the train station. There is a bus stop 2 mins walk to the hotel. The staff are very friendly and approachable. They have a gym, washing machine can be used for free using the app. Iron and ironing board are also available. The Restaurant serves a good selection of lunch and dinner. Its very good for families and students",positive,positive,compliment,"[('town', 0.5157), ('restaurants', 0.4766), ('hotel', 0.4457), ('restaurant', 0.4303), ('location', 0.428)]"
Very good,07-2022,"location, friendly staff, cool design, cleanliness, good restaurant",positive,positive,compliment,"[('restaurant', 0.611), ('cleanliness', 0.5331), ('location', 0.4293), ('staff', 0.414), ('friendly', 0.4129)]"
Perfect short stay and super friendly staff,06-2022,"The staff, cleanliness, location, comfort and small touches like bottles of water and a notepad.",positive,positive,compliment,"[('staff', 0.5692), ('cleanliness', 0.5137), ('notepad', 0.4078), ('bottles', 0.351), ('touches', 0.3247)]"
Good,08-2022,"Location is perfect
Staff was helpful",positive,positive,compliment,"[('location', 0.5527), ('staff', 0.528), ('perfect', 0.3875), ('helpful', 0.2923)]"
"Nice place, very central but too pricy!",06-2023,"Good location of the hotel. Nice staff and a creat atmosphere due to all the students.
The breakfast was ok. There might be many better place around but it was convenient. The corner room was great seeing the sunset over Groningen.",positive,positive,compliment,"[('hotel', 0.5655), ('sunset', 0.3462), ('breakfast', 0.3386), ('place', 0.3082), ('corner', 0.2887)]"
Good,09-2023,"Location, bed, staff.",positive,neutral,compliment,"[('bed', 0.5914), ('staff', 0.5514), ('location', 0.499)]"
Great place to stay while discovering Groningen.,04-2023,"Exellent location, park house next door, fancy design, great atmosphere created by lots of young people. Decent restaurant and friendly staff.",positive,positive,compliment,"[('restaurant', 0.5033), ('park', 0.4422), ('location', 0.3873), ('fancy', 0.3704), ('house', 0.3703)]"
So nice!,07-2021,"It's my third time in Student Hotel and every time it's exactly like it should be. Great staff, clean and comfortable rooms. Location is perfect. I will definitely be back.",positive,positive,compliment,"[('hotel', 0.5874), ('rooms', 0.436), ('perfect', 0.3864), ('location', 0.3541), ('student', 0.3379)]"
Very good,08-2021,I recommend you to have dinner in their restaurant. I ordered people's dish and it was very nice.,positive,positive,suggestion,"[('restaurant', 0.5336), ('dinner', 0.5189), ('dish', 0.4038), ('nice', 0.3082), ('ordered', 0.2132)]"
"Weve had a good stay, good breakfast,at a vey good location. Communication upfront was good. We will",08-2021,"Breakfast was ok. Drink ar the bar ok, good wine.",positive,neutral,suggestion,"[('breakfast', 0.6245), ('wine', 0.514), ('drink', 0.5003), ('bar', 0.4372), ('good', 0.4111)]"
Good value for money and suitable for youth travelers.,08-2023,"Staff is professional and smiling. Good location, good value for money and breakfast.",positive,positive,compliment,"[('staff', 0.6596), ('smiling', 0.4225), ('professional', 0.4171), ('breakfast', 0.3074), ('good', 0.2809)]"
Very good,07-2023,"Downstairs lobby is nice and breakfast is for European ok. 
Rooms are clean and nice.
Location is central.",positive,neutral,compliment,"[('rooms', 0.583), ('lobby', 0.5335), ('downstairs', 0.4934), ('central', 0.3782), ('location', 0.328)]"
Good location,08-2021,"The location was really good, also the overall look of the hotel was great!",positive,positive,compliment,"[('hotel', 0.6507), ('great', 0.3493), ('location', 0.3332), ('good', 0.2824), ('overall', 0.1112)]"
Excellent hotel with great staff!,01-2022,The room was very clean and there were some free snacks laid out for us on the bed. We felt very warmly welcomed. We stayed on New Year's Eve and surely felt a bit hungover the next day. The staff was very understanding and gave us extra time for our check out so that we were able to get some more sleep in. They even handed us some bottles of water for our car ride home when we checked out. All free of charge!,positive,positive,compliment,"[('bed', 0.434), ('hungover', 0.3587), ('sleep', 0.3218), ('welcomed', 0.3116), ('room', 0.3056)]"
Exceptional,08-2021,"The hotel is just amazing! Every little detail is precisely thought and the overall experience is so impressive - the interior design, the messages, the garden, the working and chill out area, even the pillows :) The location is great - 10 minutes walking to the central square.",positive,positive,compliment,"[('hotel', 0.6989), ('pillows', 0.3406), ('amazing', 0.2969), ('central', 0.2959), ('location', 0.2953)]"
Very good,09-2021,Very close to centre of town and university,positive,neutral,suggestion,"[('town', 0.6184), ('centre', 0.5883), ('university', 0.567), ('close', 0.2426)]"
Pleasant,10-2022,Location/vibe,positive,neutral,observation,"[('location', 0.8774), ('vibe', 0.3798)]"
